connector,pin,col,row,signal
Conn0,A16,A,16,S1_RX8N
Conn0,B16,B,16,GND
Conn0,C16,C,16,S1_RX1N
Conn0,D16,D,16,GND
Conn0,E16,E,16,S1_RX2N
Conn0,F16,F,16,GND
Conn0,G16,G,16,S1_TX8N
Conn0,H16,H,16,GND
Conn0,J16,J,16,S1_TX1N
Conn0,K16,K,16,GND
Conn0,L16,L,16,S1_TX2N
Conn0,A17,A,17,GND
Conn0,B17,B,17,S2_RX15P
Conn0,C17,C,17,GND
Conn0,D17,D,17,S1_RX0P
Conn0,E17,E,17,GND
Conn0,F17,F,17,JTAG0 _TDI
Conn0,G17,G,17,GND
Conn0,H17,H,17,S2_TX15P
Conn0,J17,J,17,GND
Conn0,K17,K,17,S1_TX0P
Conn0,L17,L,17,GND
Conn0,A18,A,18,GND
Conn0,B18,B,18,S2_RX15N
Conn0,C18,C,18,GND
Conn0,D18,D,18,S1_RX0N
Conn0,E18,E,18,GND
Conn0,F18,F,18,JTAG0_TMS
Conn0,G18,G,18,GND
Conn0,H18,H,18,S2_TX15N
Conn0,J18,J,18,GND
Conn0,K18,K,18,S1_TX0N
Conn0,L18,L,18,GND
Conn0,A19,A,19,S2_RX13P
Conn0,B19,B,19,GND
Conn0,C19,C,19,S2_RX14P
Conn0,D19,D,19,GND
Conn0,E19,E,19,S2_RX7P
Conn0,F19,F,19,GND
Conn0,G19,G,19,S2_TX13P
Conn0,H19,H,19,GND
Conn0,J19,J,19,S2_TX14P
Conn0,K19,K,19,GND
Conn0,L19,L,19,S2_TX7P
Conn0,A20,A,20,S2_RX13N
Conn0,B20,B,20,GND
Conn0,C20,C,20,S2_RX14N
Conn0,D20,D,20,GND
Conn0,E20,E,20,S2_RX7N
Conn0,F20,F,20,GND
Conn0,G20,G,20,S2_TX13N
Conn0,H20,H,20,GND
Conn0,J20,J,20,S2_TX14N
Conn0,K20,K,20,GND
Conn0,L20,L,20,S2_TX7N
Conn0,A21,A,21,GND
Conn0,B21,B,21,S2_RX12P
Conn0,C21,C,21,GND
Conn0,D21,D,21,S2_RX6P
Conn0,E21,E,21,GND
Conn0,F21,F,21,JTAG0_TCK
Conn0,G21,G,21,GND
Conn0,H21,H,21,S2_TX12P
Conn0,J21,J,21,GND
Conn0,K21,K,21,S2_TX6P
Conn0,L21,L,21,GND
Conn0,A22,A,22,GND
Conn0,B22,B,22,S2_RX12N
Conn0,C22,C,22,GND
Conn0,D22,D,22,S2_RX6N
Conn0,E22,E,22,GND
Conn0,F22,F,22,JTAG0_TRST
Conn0,G22,G,22,GND
Conn0,H22,H,22,S2_TX12N
Conn0,J22,J,22,GND
Conn0,K22,K,22,S2_TX6N
Conn0,L22,L,22,GND
Conn0,A23,A,23,S2_RX11P
Conn0,B23,B,23,GND
Conn0,C23,C,23,S2_RX4P
Conn0,D23,D,23,GND
Conn0,E23,E,23,S2_RX5P
Conn0,F23,F,23,GND
Conn0,G23,G,23,S2_TX11P
Conn0,H23,H,23,GND
Conn0,J23,J,23,S2_TX4P
Conn0,K23,K,23,GND
Conn0,L23,L,23,S2_TX5P
Conn0,A24,A,24,S2_RX11N
Conn0,B24,B,24,GND
Conn0,C24,C,24,S2_RX4N
Conn0,D24,D,24,GND
Conn0,E24,E,24,S2_RX5N
Conn0,F24,F,24,GND
Conn0,G24,G,24,S2_TX11N
Conn0,H24,H,24,GND
Conn0,J24,J,24,S2_TX4N
Conn0,K24,K,24,GND
Conn0,L24,L,24,S2_TX5N
Conn0,A25,A,25,GND
Conn0,B25,B,25,S2_RX10P
Conn0,C25,C,25,GND
Conn0,D25,D,25,S2_RX3P
Conn0,E25,E,25,GND
Conn0,F25,F,25,JTAG0_TDO
Conn0,G25,G,25,GND
Conn0,H25,H,25,S2_TX10P
Conn0,J25,J,25,GND
Conn0,K25,K,25,S2_TX3P
Conn0,L25,L,25,GND
Conn0,A26,A,26,GND
Conn0,B26,B,26,S2_RX10N
Conn0,C26,C,26,GND
Conn0,D26,D,26,S2_RX3N
Conn0,E26,E,26,GND
Conn0,F26,F,26,TEST0
Conn0,G26,G,26,GND
Conn0,H26,H,26,S2_TX10N
Conn0,J26,J,26,GND
Conn0,K26,K,26,S2_TX3N
Conn0,L26,L,26,GND
Conn0,A27,A,27,S2_RX9P
Conn0,B27,B,27,GND
Conn0,C27,C,27,S2_RX1P
Conn0,D27,D,27,GND
Conn0,E27,E,27,S2_RX2P
Conn0,F27,F,27,GND
Conn0,G27,G,27,S2_TX9P
Conn0,H27,H,27,GND
Conn0,J27,J,27,S2_TX1P
Conn0,K27,K,27,GND
Conn0,L27,L,27,S2_TX2P
Conn0,A28,A,28,S2_RX9N
Conn0,B28,B,28,GND
Conn0,C28,C,28,S2_RX1N
Conn0,D28,D,28,GND
Conn0,E28,E,28,S2_RX2N
Conn0,F28,F,28,GND
Conn0,G28,G,28,S2_TX9N
Conn0,H28,H,28,GND
Conn0,J28,J,28,S2_TX1N
Conn0,K28,K,28,GND
Conn0,L28,L,28,S2_TX2N
Conn0,A29,A,29,GND
Conn0,B29,B,29,S2_RX8P
Conn0,C29,C,29,GND
Conn0,D29,D,29,S2_RX0P
Conn0,E29,E,29,GND
Conn0,F29,F,29,TEST1
Conn0,G29,G,29,GND
Conn0,H29,H,29,S2_TX8P
Conn0,J29,J,29,GND
Conn0,K29,K,29,S2_TX0P
Conn0,L29,L,29,GND
Conn0,A30,A,30,GND
Conn0,B30,B,30,S2_RX8N
Conn0,C30,C,30,GND
Conn0,D30,D,30,S2_RX0N
Conn0,E30,E,30,GND
Conn0,F30,F,30,TEST2
Conn0,G30,G,30,GND
Conn0,H30,H,30,S2_TX8N
Conn0,J30,J,30,GND
Conn0,K30,K,30,S2_TX0N
Conn0,L30,L,30,GND
Conn0,A31,A,31,S3_RX14P
Conn0,B31,B,31,GND
Conn0,C31,C,31,S3_RX15P
Conn0,D31,D,31,GND
Conn0,E31,E,31,S3_RX7P
Conn0,F31,F,31,GND
Conn0,G31,G,31,S3_TX14P
Conn0,H31,H,31,GND
Conn0,J31,J,31,S3_TX15P
Conn0,K31,K,31,GND
