row,signal,direction,description,voltage,recommendation,diff_pairs,se_pins,connector
53,JTAG1 _TRST,Input,High Voltage JTAG Test Reset,3.3V,Optional,,1,Conn1
54,JTAG1 _TMS,Input,High Voltage JTAG Test Mode Select,3.3V,Optional,,1,Conn1
55,JTAG1 _TCK,Input,High Voltage JTAG Test Clock,3.3V,Optional,,1,Conn1
56,JTAG1 _TDO,Output,High Voltage JTAG Test Output,3.3V,Optional,,1,Conn1
57,JTAG1 _TDI,Input,High Voltage JTAG Test Input,3.3V,Optional,,1,Conn1
58,CONN1_INITMODE,Output,QSFP-DD Connector 1 Module Initialization mode,Vref,add level shift and connect to QSFP-DD conn if any expansion,,1,Conn1
59,CONN1_INT#,Input,QSFP-DD Connector 1 Module Interrupt,Vref,add level shift and connect to QSFP-DD conn if any expansion,,1,Conn1
60,CONN1_MODPRS#,Input,QSFP-DD Connector 1 Module Present,Vref,add level shift and connect to QSFP-DD conn if any expansion,,1,Conn1
61,CONN1_MODSEL#,Output,QSFP-DD Connector 1 Module Select,Vref,add level shift and connect to QSFP-DD conn if any expansion,,1,Conn1
62,CONN1_RESET#,Output,QSFP-DD Connector 1 Module Reset,Vref,add level shift and connect to QSFP-DD conn if any expansion,,1,Conn1
63,CONN1_GREEN_LED,Output,QSFP-DD Connector 1 GREEN STATUS LED,Vref,add level shift and connect to QSFP-DD conn if any expansion. NC if not used. ,,1,Conn1
64,CONN1_YELLOW_LED,Output,QSFP-DD Connector 1 YELLOW STATUS LED,Vref,add level shift and connect to QSFP-DD conn if any expansion. NC if not used. ,,1,Conn1
65,CONN2_INITMODE,Output,QSFP-DD Connector 2 Module Initialization mode,Vref,add level shift and connect to QSFP-DD conn if any expansion,,1,Conn1
66,CONN2_INT#,Input,QSFP-DD Connector 2 Module Interrupt,Vref,add level shift and connect to QSFP-DD conn if any expansion,,1,Conn1
67,CONN2_MODPRS#,Input,QSFP-DD Connector 2 Module Present,Vref,add level shift and connect to QSFP-DD conn if any expansion,,1,Conn1
68,CONN2_MODSEL#,Output,QSFP-DD Connector 2 Module Select,Vref,add level shift and connect to QSFP-DD conn if any expansion,,1,Conn1
69,CONN2_RESET#,Output,QSFP-DD Connector 2 Module Reset,Vref,add level shift and connect to QSFP-DD conn if any expansion,,1,Conn1
70,CONN2_GREEN_LED,Output,QSFP-DD Connector 2 GREEN STATUS LED,Vref,add level shift and connect to QSFP-DD conn if any expansion. NC if not used. ,,1,Conn1
71,CONN2_YELLOW_LED,Output,QSFP-DD Connector 2 YELLOW STATUS LED,Vref,add level shift and connect to QSFP-DD conn if any expansion. NC if not used. ,,1,Conn1
72,PRSNT0#,Output,Module present pin connector 0. Tied to GND through 1K resistor on module side.,,Weak PU on baseboard side. ,,1,Conn0
73,PRSNT1#,Output,Module present pin connector 1. Tied to GND through 1K resistor on module side,,Weak PU on baseboard side. ,,1,Conn1
74,SCALE_DEBUG_EN,Output,At-scale debug enable on the module. Isolates any motherboard JTAG debug path when logic High,3.3V,Required,,1,Conn1
75,DEBUG_PORT_PRSNT#,Input,Presence signal for debug port in baseboard. Notifies logic in the module the debug access is being used by the baseboard debug connector. Debug port on baseboard present when logic low. ,Vref?,Strong PU on baseboard side. ,,1,Conn1
